,brand_and_model,km_driven,fuel_type,transmission,all_spec_1,all_spec_2,price
5178,2017 Maruti Suzuki Baleno Alpha Petrol,69K km, · Petrol, · Manual,,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹5.39 Lakh
5179,2019 Tata Harrier XZ,37K km, · Diesel, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",₹13.72 Lakh
5180,2015 Toyota Camry Hybrid,70K km, · Petrol, · Automatic,,"Mileage (ARAI)
19.16 kmpl
Ground clearance
160 mm
Seating capacity
5 units
Fuel tank capacity
65 litres
Max power
158 bhp
Max torque
213 nm
VIEW ALL SPECIFICATIONS",₹16.17 Lakh
5181,2021 Honda City ZX,13K km, · Petrol, · Manual,,"Mileage (ARAI)
18.4 kmpl
Ground clearance
165 mm
Boot space
506 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
119.35 bhp
VIEW ALL SPECIFICATIONS",₹12.84 Lakh
5182,2018 Maruti Suzuki Ciaz S Petrol,43K km, · Petrol, · Manual,,"Mileage (ARAI)
20.73 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
91.1 bhp
VIEW ALL SPECIFICATIONS",₹7.79 Lakh
5183,2021 Datsun Redi-GO A,13K km, · Petrol, · Manual,,"Mileage (ARAI)
20.71 kmpl
Ground clearance
187 mm
Boot space
222 litres
Seating capacity
5 units
Fuel tank capacity
28 litres
Max power
53.64 bhp
VIEW ALL SPECIFICATIONS",₹3.36 Lakh
5184,2020 Hyundai Venue SX 1.0 Turbo,41K km, · Petrol, · Manual,,"Mileage (ARAI)
18.27 kmpl
Ground clearance
195 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
118.35 bhp
VIEW ALL SPECIFICATIONS",₹8.65 Lakh
5185,2017 Honda Amaze 1.2 S i-VTEC,22K km, · Petrol, · Manual,,"Mileage (ARAI)
18 kmpl
Ground clearance
165 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
86.7 bhp
VIEW ALL SPECIFICATIONS",₹5.20 Lakh
5186,2020 Honda City VX,39K km, · Petrol, · Manual,,"Mileage (ARAI)
18.4 kmpl
Ground clearance
165 mm
Boot space
506 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
119.3 bhp
VIEW ALL SPECIFICATIONS",₹11.55 Lakh
5187,2018 Maruti Suzuki Dzire ZDI,18K km, · Diesel, · Manual,,"Mileage (ARAI)
23.26 kmpl
Ground clearance
163 mm
Boot space
378 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
74.02 bhp
VIEW ALL SPECIFICATIONS",₹6.74 Lakh
5188,2019 Hyundai Venue SX Plus 1.0 Turbo DCT,31K km, · Petrol, · Automatic,"Mileage (ARAI)
18.15 kmpl
Ground clearance
195 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
118.35 bhp
VIEW ALL SPECIFICATIONS",,₹10.22 Lakh
5189,2013 Maruti Suzuki Wagon R 1.0 VXI,59K km, · Petrol, · Manual,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
67.1 bhp
Max torque
90 nm
VIEW ALL SPECIFICATIONS",₹2.83 Lakh
5190,2015 Honda Brio VX MT,56K km, · Petrol, · Manual,,"Mileage (ARAI)
19.4 kmpl
Ground clearance
165 mm
Boot space
175 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
86.8 bhp
VIEW ALL SPECIFICATIONS",₹4.03 Lakh
