manufacturer,brand,model (year),km driven (in thousands),mileage (in kmpl),seating capacity (units),fuel_type,transmission,ground clearance (in mm),boot space (in litres),fuel tank capacity (in litres),max power (in bhp),price (in lakh Rs.)
Kia,Kia Seltos HTX IVT G,2020,26,16.8,5,Petrol,Automatic,190,433,50,113.4,14.42
Volkswagen,Volkswagen Polo Comfortline 1.0L (P),2018,56,17.74,5,Petrol,Manual,165,280,45,75.01,5.38
Skoda,Skoda Slavia Style 1.0L TSI MT,2022,25,19.47,5,Petrol,Manual,179,521,45,114,13.82
Maruti Suzuki,Maruti Suzuki Baleno Alpha Petrol,2015,52,21.01,5,Petrol,Manual,170,339,37,81.8,5.3
Maruti Suzuki,Maruti Suzuki Alto 800 VXI,2020,17,22.05,5,Petrol,Manual,160,177,35,47.3,3.84
Honda,Honda Amaze 1.2 S i-VTEC,2015,77,18,5,Petrol,Manual,165,400,35,86.7,3.94
Maruti Suzuki,Maruti Suzuki Alto K10 VXI,2019,41,24.07,5,Petrol,Manual,160,177,35,67,3.57
Tata,Tata Safari XZA Plus 6S,2021,41,14.08,7,Diesel,Automatic,205,73,50,167.67,18.4
Tata,Tata Nexon XZA Plus AMT Petrol,2018,100,17,5,Petrol,Automatic,209,350,44,108.5,6.9
Maruti Suzuki,Maruti Suzuki S-Cross Zeta 1.5 AT,2020,35,18.43,5,Petrol,Automatic,180,375,48,88.51,9.73
Honda,Honda City V,2011,97,17,5,Petrol,Manual,160,506,42,118,3.28
Toyota,Toyota Corolla Altis G Petrol,2018,80,14.28,5,Petrol,Manual,175,470,55,138.03,11.29
Tata,Tata Harrier XZ,2019,37,17,5,Diesel,Manual,205,425,50,138,13.72
Toyota,Toyota Camry Hybrid,2015,70,19.16,5,Petrol,Automatic,160,350,65,158,16.17
Honda,Honda City ZX,2021,13,18.4,5,Petrol,Manual,165,506,40,119.35,12.84
Maruti Suzuki,Maruti Suzuki Ciaz S Petrol,2018,43,20.73,5,Petrol,Manual,170,510,43,91.1,7.79
Hyundai,Hyundai Venue SX 1.0 Turbo,2020,41,18.27,5,Petrol,Manual,195,350,45,118.35,8.65
Honda,Honda Amaze 1.2 S i-VTEC,2017,22,18,5,Petrol,Manual,165,400,35,86.7,5.2
Honda,Honda City VX,2020,39,18.4,5,Petrol,Manual,165,506,40,119.3,11.55
Maruti Suzuki,Maruti Suzuki Dzire ZDI,2018,18,23.26,5,Diesel,Manual,163,378,37,74.02,6.74
Hyundai,Hyundai Venue SX Plus 1.0 Turbo DCT,2019,31,18.15,5,Petrol,Automatic,195,350,45,118.35,10.22
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 VXI,2013,59,18.9,5,Petrol,Manual,165,350,35,67.1,2.83
Honda,Honda WR-V VX i-VTEC,2018,20,16.5,5,Petrol,Manual,188,363,40,88.5,7.36
Honda,Honda Amaze 1.2 VX i-VTEC,2015,33,18,5,Petrol,Manual,165,400,35,86.9,4.9
Honda,Honda City V,2016,49,17.8,5,Petrol,Manual,165,510,40,117.3,6.98
Hyundai,Hyundai i10 Sportz Petrol,2014,65,20.36,5,Petrol,Manual,165,225,35,68,3.38
Maruti Suzuki,Maruti Suzuki Dzire VDI,2018,57,28.4,5,Diesel,Manual,170,378,37,74,6.38
Hyundai,Hyundai Creta 1.6 SX Plus Auto Petrol,2017,41,15.29,5,Petrol,Automatic,190,400,60,122,10.4
Tata,Tata Safari XZA Plus,2021,22,19.365,7,Diesel,Automatic,170,350,50,167.67,20.2
Maruti Suzuki,Maruti Suzuki Ciaz Alpha AT Petrol,2018,45,20,5,Petrol,Automatic,170,510,43,103.25,8.85
Honda,Honda WR-V VX i-VTEC,2019,25,16.5,5,Petrol,Manual,188,363,40,88.5,7.81
Honda,Honda City V,2013,45,17,5,Petrol,Manual,160,506,42,118,4.56
Tata,Tata Harrier XZ,2019,44,17,5,Diesel,Manual,205,425,50,138,13.52
Honda,Honda Jazz V CVT,2018,51,17.01,5,Petrol,Automatic,170,354,40,88.51,6.74
Hyundai,Hyundai Verna 1.6 VTVT SX,2019,21,17.4,5,Petrol,Manual,165,480,43,121,9.32
Kia,Kia Seltos HTK G,2020,23,16.8,5,Petrol,Manual,190,433,50,113.4,10.83
Honda,Honda City ZX,2019,14,17.04,5,Petrol,Manual,165,510,40,117.6,10.22
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi,2018,23,24.3,5,Diesel,Manual,198,328,48,89,7.42
Maruti Suzuki,Maruti Suzuki Ciaz Alpha Petrol,2019,26,20.65,5,Petrol,Manual,170,510,43,103.25,8.56
Hyundai,Hyundai Santro Xing GL Plus,2014,61,17.92,5,Petrol,Manual,172,350,35,62.1,2.89
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi AMT,2019,37,24.3,5,Diesel,Automatic,198,328,48,88.5,8.33
Maruti Suzuki,Maruti Suzuki Dzire ZXI AMT,2017,72,23.26,5,Petrol,Automatic,163,378,37,88.5,6.21
Maruti Suzuki,Maruti Suzuki Ciaz Alpha Petrol,2018,57,20.73,5,Petrol,Manual,170,510,43,91.1,7.06
Maruti Suzuki,Maruti Suzuki Swift Dzire VXI,2014,76,19.1,5,Petrol,Manual,170,320,42,85.8,4.1
Maruti Suzuki,Maruti Suzuki Baleno Zeta Petrol,2019,75,21.01,5,Petrol,Manual,170,339,37,81.8,6
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 LXI CNG,2018,60,20.5,5,Petrol+cng,Manual,165,350,35,58,4.31
Maruti Suzuki,Maruti Suzuki Baleno Delta Petrol,2020,23,21.01,5,Petrol,Manual,170,339,37,81.8,6.22
Mahindra,Mahindra Scorpio S5,2018,35,16.36,7,Diesel,Manual,180,460,60,138.13,10.36
Hyundai,Hyundai Creta 1.6 SX Plus Petrol,2017,50,15.29,5,Petrol,Manual,190,400,60,122,9.38
Hyundai,Hyundai Creta 1.6 SX Plus Auto Petrol,2017,36,15.29,5,Petrol,Automatic,190,400,60,122,10.21
Hyundai,Hyundai Elite i20 Asta 1.2 (O),2019,18,19.8,5,Petrol,Manual,170,285,45,82,7.31
Maruti Suzuki,Maruti Suzuki Alto 800 LXI,2021,21,22.05,5,Petrol,Manual,160,177,35,47.33,3.44
Hyundai,Hyundai Verna SX(O) AT Petrol+cng(outside fitted),2018,45,17,5,Petrol+cng,Automatic,165,480,45,121.3,9.48
Honda,Honda City V,2013,90,17,5,Petrol,Manual,160,506,42,118,4.77
Hyundai,Hyundai Venue SX 1.4 CRDI,2019,35,23.7,5,Diesel,Manual,190,350,45,98.6,8.46
Maruti Suzuki,Maruti Suzuki Swift Dzire VXI,2014,86,19.1,5,Petrol,Manual,170,320,42,85.8,3.88
Honda,Honda City V,2013,37,17,5,Petrol,Manual,160,506,42,118,5.01
Tata,Tata Harrier XZ,2019,74,17,5,Diesel,Manual,205,425,50,138,12.25
Maruti Suzuki,Maruti Suzuki Ciaz Alpha Petrol,2019,44,20.65,5,Petrol,Manual,170,510,43,103.25,8.2
Maruti Suzuki,Maruti Suzuki Baleno Zeta AT Petrol,2016,76,19.56,5,Petrol,Automatic,170,339,37,81.8,5.33
Maruti Suzuki,Maruti Suzuki Ciaz Alpha Diesel,2019,46,19.365,5,Diesel,Manual,170,510,43,88.5,8.2
Ford,Ford EcoSport Titanium + 1.5L Ti-VCT,2020,34,15.9,5,Petrol,Manual,200,352,52,121,8.92
Hyundai,Hyundai Elite i20 Sportz 1.2,2017,48,18.6,5,Petrol,Manual,170,285,45,82,5.55
Hyundai,Hyundai Creta 1.6 SX VTVT,2018,28,15.29,5,Petrol,Manual,190,400,55,122,9.9
Hyundai,Hyundai Elite i20 Sportz 1.2,2017,42,18.6,5,Petrol,Manual,170,285,45,82,5.69
Honda,Honda City VX CVT,2015,75,18,5,Petrol,Automatic,165,510,40,117.3,6.76
Maruti Suzuki,Maruti Suzuki S-Cross Alpha 1.5,2020,20,18.55,5,Petrol,Manual,170,375,48,103.25,10.33
Honda,Honda WR-V i-DTEC VX,2018,61,23.7,5,Diesel,Manual,188,363,40,97.89,6.8
Renault,Renault Triber RXZ AMT,2020,14,18.2,7,Petrol,Automatic,182,84,40,72,7.07
Hyundai,Hyundai Creta 1.6 S Petrol,2016,65,15.29,5,Petrol,Manual,190,400,60,122,7.87
Hyundai,Hyundai Verna Fluidic 1.6 VTVT SX AT,2014,99,17.01,5,Petrol,Automatic,170,350,43,121,5.22
Hyundai,Hyundai Creta 1.6 SX Plus Auto Petrol,2017,58,15.29,5,Petrol,Automatic,190,400,60,122,10.93
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZXI Plus,2021,13,17.03,5,Petrol,Manual,170,328,48,103.26,9.62
Maruti Suzuki,Maruti Suzuki Ciaz ZXI+ AT,2016,39,19.12,5,Petrol,Automatic,170,510,43,91,6.93
Honda,Honda WR-V i-VTEC VX,2021,10,16.5,5,Petrol,Manual,188,363,40,88.51,8.84
Hyundai,Hyundai Verna 1.6 VTVT SX (O),2019,88,17.4,5,Petrol,Manual,165,465,43,121,8.99
Maruti Suzuki,Maruti Suzuki Ciaz Zeta Petrol AT,2018,17,19.12,5,Petrol,Automatic,170,510,43,91,8.19
Maruti Suzuki,Maruti Suzuki Alto K10 VXI,2013,81,20.92,5,Petrol,Manual,160,177,35,67.1,2.61
Maruti Suzuki,Maruti Suzuki Ciaz Delta Petrol,2018,50,20.73,5,Petrol,Manual,170,510,43,91.1,6.62
Hyundai,Hyundai Creta 1.6 SX Plus Auto Petrol,2016,88,15.29,5,Petrol,Automatic,190,400,60,122,8.55
Maruti Suzuki,Maruti Suzuki Swift VXI,2014,55,18.6,5,Petrol,Manual,170,232,42,85.8,3.81
Maruti Suzuki,Maruti Suzuki Baleno Alpha Petrol,2017,51,21.01,5,Petrol,Manual,170,339,37,81.8,5.66
Maruti Suzuki,Maruti Suzuki Baleno Alpha Petrol,2016,45,21.01,5,Petrol,Manual,170,339,37,81.8,5.71
Maruti Suzuki,Maruti Suzuki Vitara Brezza VDi,2019,24,24.3,5,Diesel,Manual,198,350,48,89,7.59
Honda,Honda City V,2011,79,17,5,Petrol,Manual,160,506,42,118,3.55
Hyundai,Hyundai Venue S 1.0 Turbo DCT,2019,27,18.15,5,Petrol,Automatic,195,350,45,88.51,9.1
MG,MG Motors Hector 2.0 Sharp,2020,36,17.41,5,Diesel,Manual,183,587,60,167.68,15.44
Tata,Tata Hexa XM,2019,62,17.6,7,Diesel,Manual,200,128,60,153.6,9.86
Hyundai,Hyundai Creta 1.6 SX Plus Petrol,2018,44,15.29,5,Petrol,Manual,190,400,60,122,9.66
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 VXI Petrol + CNG (Outside Fitted),2013,53,15,5,Petrol+cng,Manual,165,350,35,67.1,3.59
Nissan,Nissan Kicks XV Diesel,2019,19,19.365,5,Diesel,Manual,210,400,50,88.51,8.5
