manufacturer,brand,model (year),km driven (in thousands),mileage (in kmpl),seating capacity (units),fuel_type,transmission,ground clearance (in mm),boot space (in litres),fuel tank capacity (in litres),max power (in bhp),price (in lakh Rs.)
Maruti Suzuki,Maruti Suzuki Ciaz Alpha AT Petrol,2021,14,20,5,Petrol,Automatic,170,510,43,103.25,11.03
Hyundai,Hyundai Creta 1.6 SX,2017,116,19.67,5,Diesel,Manual,190,350,60,126,9.97
Ford,Ford Figo Aspire Titanium 1.2 Ti-VCT,2017,23,18.5,5,Petrol,Manual,174,359,42,94.93,4.75
Datsun,Datsun Redi-GO T (O),2016,29,20.71,5,Petrol,Manual,187,222,28,53.64,2.17
Renault,Renault Kwid RXL,2021,9,20.71,5,Petrol,Manual,184,279,28,53,3.94
Nissan,Nissan Micra Active XL (O),2018,47,19.365,5,Petrol,Manual,154,251,41,88.51,4.13
Tata,Tata Punch Creative Dual Tone,2021,19,18.9,5,Petrol,Manual,187,366,37,84,7.61
Ford,Ford Figo Aspire Titanium Plus 1.2 Ti-VCT,2021,7,18.5,5,Petrol,Manual,174,359,42,94.93,6.61
Hyundai,Hyundai Fluidic Verna 4S 1.6 VTVT SX,2016,22,17.4,5,Petrol,Manual,165,465,43,121,6.52
Hyundai,Hyundai New Santro 1.1 Asta MT,2020,18,20.3,5,Petrol,Manual,170,235,35,68.07,4.87
Renault,Renault Duster RXZ Petrol,2021,18,16.42,5,Petrol,Manual,205,475,50,88.51,9.02
Datsun,Datsun Redi-GO S,2018,28,19.365,5,Petrol,Manual,170,222,28,88.51,2.6
Tata,Tata Tiago Revotron XM,2019,28,19.365,5,Petrol,Manual,165,242,35,88.51,4.37
Nissan,Nissan Magnite XL Turbo,2021,25,20,5,Petrol,Manual,205,336,40,99,6.89
Hyundai,Hyundai New Santro 1.1 Asta MT,2018,38,20.3,5,Petrol,Manual,170,235,35,68.07,4.5
Renault,Renault Triber RXL,2020,10,20,7,Petrol,Manual,182,84,40,71,5.43
Hyundai,Hyundai Venue SX 1.0 Turbo iMT,2021,22,18,5,Petrol,Manual,195,350,45,118.35,9.81
Maruti Suzuki,Maruti Suzuki Dzire VXI,2021,12,23.26,5,Petrol,Manual,170,378,37,88.5,7.24
Honda,Honda Jazz VX CVT,2021,14,17.1,5,Petrol,Automatic,165,354,40,88.5111,8.95
Hyundai,Hyundai Venue SX Plus 1.0 Turbo DCT,2019,25,18.15,5,Petrol,Automatic,195,350,45,118.35,10.5
Hyundai,Hyundai Venue SX 1.0 Turbo,2019,12,18.27,5,Petrol,Manual,195,350,45,118.35,8.58
Tata,Tata Punch Accomplished MT,2022,7,18.9,5,Petrol,Manual,187,366,37,84,7.4
Tata,Tata Safari XZA Plus,2021,8,19.365,7,Diesel,Automatic,170,350,50,167.67,23.6
Tata,Tata Safari XZA Plus,2021,21,19.365,7,Diesel,Automatic,170,350,50,167.67,21.51
Honda,Honda WR-V i-VTEC VX,2021,23,16.5,5,Petrol,Manual,188,363,40,88.51,8.99
Tata,Tata Altroz XZ 1.2,2020,19,19.05,5,Petrol,Manual,165,345,37,84.82,6.79
Datsun,Datsun Redi-GO S 1.0,2017,35,22.5,5,Petrol,Manual,185,222,28,67,3.19
Hyundai,Hyundai Creta 1.6 SX VTVT,2019,29,15.29,5,Petrol,Manual,190,400,55,122,11.29
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 VXI,2011,46,18.9,5,Petrol,Manual,165,350,35,67.1,3.06
Datsun,Datsun Redi-GO T (O),2017,12,20.71,5,Petrol,Manual,187,222,28,53.64,2.45
Hyundai,Hyundai Elite i20 Asta 1.2,2014,89,18.6,5,Petrol,Manual,170,285,45,82,5.05
Tata,Tata Nexon XM Petrol,2020,17,17,5,Petrol,Manual,209,350,44,88.51,7.61
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 LXI CNG,2014,60,20.5,5,Petrol+cng,Manual,165,350,35,58,4.21
Renault,Renault Kwid RXL,2020,19,20.71,5,Petrol,Manual,184,279,28,53,3.7
Datsun,Datsun Redi-GO A,2019,38,20.71,5,Petrol,Manual,187,222,28,53.64,2.76
Renault,Renault Duster RXZ Petrol,2021,17,16.42,5,Petrol,Manual,205,475,50,88.51,9.47
Hyundai,Hyundai Verna SX Petrol,2020,12,17.7,5,Petrol,Manual,170,480,45,113.42,9.95
Hyundai,Hyundai Verna SX Petrol,2021,36,17.7,5,Petrol,Manual,170,480,45,113.42,9.43
Renault,Renault Duster RXZ Petrol,2021,15,16.42,5,Petrol,Manual,205,475,50,88.51,9.43
Maruti Suzuki,Maruti Suzuki Swift Dzire ZXI,2015,18,19.1,5,Petrol,Manual,170,320,42,85.8,5.79
Datsun,Datsun GO T (O),2017,16,20.63,5,Petrol,Manual,170,350,35,88.51,3.54
Mahindra,Mahindra XUV 300 W8 Petrol,2020,25,17.01,5,Petrol,Manual,180,259,42,108.6,9.29
Ford,Ford EcoSport Ambiente 1.5L TDCi,2021,25,23,5,Diesel,Manual,200,352,52,98.96,8.03
Hyundai,Hyundai Eon Magna +,2017,29,20.03,5,Petrol,Manual,170,215,32,68.05,3.34
Kia,Kia Seltos GTX Plus,2020,40,16.1,5,Petrol,Manual,170,433,50,138,13.98
Volkswagen,Volkswagen Polo Highline1.2L (P),2013,71,16.47,5,Petrol,Manual,168,350,45,73.9,4.31
Maruti Suzuki,Maruti Suzuki Baleno Zeta AT Petrol,2021,11,21.01,5,Petrol,Automatic,170,339,37,81.8,8.27
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDI PLUS AT,2019,56,24.3,5,Diesel,Automatic,198,328,48,89,8.69
Honda,Honda City ZX CVT,2019,32,18,5,Petrol,Automatic,165,510,40,117.6,10.5
Volkswagen,Volkswagen Polo Highline1.2L (P),2016,39,16.2,5,Petrol,Manual,165,280,45,74,5.79
Kia,Kia Seltos GTX,2019,35,16.1,5,Petrol,Manual,190,433,50,138,13.76
Maruti Suzuki,Maruti Suzuki Swift ZXI AMT,2018,30,21.21,5,Petrol,Automatic,163,268,37,81.8,6.64
Maruti Suzuki,Maruti Suzuki Baleno Zeta Petrol,2018,52,21.01,5,Petrol,Manual,170,339,37,81.8,6.12
Hyundai,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT CNG,2020,28,18.5,5,Petrol+cng,Manual,170,260,60,68,6.97
Hyundai,Hyundai Eon Magna +,2017,34,20.03,5,Petrol,Manual,170,215,32,68.05,3.08
Maruti Suzuki,Maruti Suzuki Baleno Delta Petrol,2019,11,21.01,5,Petrol,Manual,170,339,37,81.8,6.1
Maruti Suzuki,Maruti Suzuki Swift VXI,2020,17,21.21,5,Petrol,Manual,163,268,37,81.8,5.94
Kia,Kia Seltos HTK Plus G,2021,7,16.8,5,Petrol,Manual,190,433,50,88.51,12.29
Maruti Suzuki,Maruti Suzuki Dzire ZXI Plus AMT,2020,13,23.26,5,Petrol,Automatic,170,378,37,88.5,7.6
Tata,Tata Nexon XM S Petrol,2020,14,17,5,Petrol,Manual,209,350,44,88.51,8.03
Tata,Tata Nexon XMA AMT Diesel S,2021,18,22,5,Diesel,Automatic,209,350,44,88.51,10.58
Hyundai,Hyundai Creta 1.6 SX,2018,45,19.365,5,Diesel,Manual,170,400,55,126,10.99
Toyota,Toyota Innova Crysta 2.7 V,2020,54,19.365,7,Petrol,Manual,170,350,65,88.51,16.99
Hyundai,Hyundai Elite i20 Sportz Plus 1.2,2019,25,19.8,5,Petrol,Manual,170,285,40,82,6.58
Hyundai,Hyundai Elite i20 Sportz Plus 1.2,2019,26,19.8,5,Petrol,Manual,170,285,40,82,6.62
Maruti Suzuki,Maruti Suzuki Baleno Zeta Petrol,2020,12,21.01,5,Petrol,Manual,170,339,37,81.8,6.95
Tata,Tata Safari XZA Plus 6S,2021,28,14.08,7,Diesel,Automatic,205,73,50,167.67,19.9
Hyundai,Hyundai i20 Active 1.2 S,2015,57,17.19,5,Petrol,Manual,190,350,45,82,4.99
Honda,Honda Jazz V,2016,31,16.6,5,Petrol,Manual,165,354,40,88.51,4.91
MG,MG Motors Hector 1.5 Sharp DCT AT,2021,23,13.96,5,Petrol,Automatic,170,587,60,141,19.28
Maruti Suzuki,Maruti Suzuki Swift ZDI AMT,2018,62,25.2,5,Diesel,Automatic,163,268,42,74,7.31
Maruti Suzuki,Maruti Suzuki Ritz ZXI,2014,48,18.5,5,Petrol,Manual,170,236,43,85,4.29
Hyundai,Hyundai i10 Sportz AT Petrol,2013,23,16.95,5,Petrol,Automatic,165,350,35,78.9,3.99
Hyundai,Hyundai Grand i10 Magna 1.1 CRDi,2014,73,18.9,5,Diesel,Manual,165,350,43,70,3.95
Hyundai,Hyundai Creta 1.6 SX Plus Auto Petrol,2017,54,15.29,5,Petrol,Automatic,190,400,60,122,11.76
Maruti Suzuki,Maruti Suzuki Swift Dzire ZDI AMT,2016,28,23.4,5,Diesel,Automatic,170,320,42,74,7.62
Skoda,Skoda Rapid Ambition 1.6 MPI MT,2012,81,19.365,5,Petrol,Manual,168,350,55,105,4.44
Hyundai,Hyundai i10 Sportz 1.2 Petrol,2011,53,20.36,5,Petrol,Manual,165,350,35,78.9,3.21
Tata,Tata Harrier XZ,2019,35,17,5,Diesel,Manual,205,425,50,138,16.67
Hyundai,Hyundai Creta 1.6 SX Plus Auto,2017,46,17.01,5,Diesel,Automatic,190,400,60,126,12.13
Honda,Honda Amaze 1.5 VX i-DTEC,2020,30,27.4,5,Diesel,Manual,170,420,35,99,8.69
Volkswagen,Volkswagen Polo Highline1.2L (P),2015,54,16.2,5,Petrol,Manual,165,280,45,74,5.19
Honda,Honda Brio S(O)MT,2018,47,19.365,5,Petrol,Manual,165,175,35,88.51,4.68
Kia,Kia Sonet HTX 1.5,2020,29,24.1,5,Diesel,Manual,205,392,45,88.51,11.66
Skoda,Skoda Kushaq Style 1.5L TSI MT,2021,24,17.2,5,Petrol,Manual,188,385,50,114,16.71
Skoda,Skoda Kushaq Style 1.0L TSI AT (6 Airbags),2022,21,17.2,5,Petrol,Automatic,188,385,50,114,17.49
Hyundai,Hyundai Alcazar Platinum (O) 6 STR 2.0 Petrol AT,2021,31,14.2,6,Petrol,Automatic,200,180,50,156.82,19.99
Nissan,Nissan Kicks XV Premium Diesel,2019,50,19.365,5,Diesel,Manual,210,400,50,108.5,10
Mahindra,Mahindra Marazzo M4 8str,2018,48,17.3,8,Diesel,Manual,200,190,45,121,8.99
Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.5 Diesel,2019,40,26.82,5,Diesel,Manual,170,510,43,94,10.75
Maruti Suzuki,Maruti Suzuki S-Cross Alpha 1.6,2016,79,22.07,5,Diesel,Manual,180,353,48,118,8.16
Maruti Suzuki,Maruti Suzuki Vitara Brezza VDi (O),2018,39,24.3,5,Diesel,Manual,198,350,48,89,8.7
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 VXI,2017,43,18.9,5,Petrol,Manual,165,350,35,67.1,4.44
Maruti Suzuki,Maruti Suzuki Dzire ZXI Plus AMT,2017,47,24.12,5,Petrol,Automatic,170,378,37,88.5,6.88
Honda,Honda City ZX CVT,2021,8,18.4,5,Petrol,Automatic,170,506,40,119.35,14.28
Maruti Suzuki,Maruti Suzuki S-Cross Zeta 1.5,2020,19,18.55,5,Petrol,Manual,180,375,48,88.51,9.4
Renault,Renault Kiger RXZ 1.0 Turbo MT Dual Tone,2022,6,20.53,5,Petrol,Manual,205,405,40,99,8.9
Maruti Suzuki,Maruti Suzuki Alto K10 VXI,2014,35,20.92,5,Petrol,Manual,160,177,35,67.1,3.01
Renault,Renault Fluence Diesel E2,2013,98,20.4,5,Diesel,Manual,168,350,67,108,4.32
Volkswagen,Volkswagen Taigun GT 1.5 TSI MT,2021,7,18.4,5,Petrol,Manual,188,50,50,148,14.96
Volkswagen,Volkswagen Polo Highline Plus 1.5 (D),2018,34,20.14,5,Diesel,Manual,165,280,45,88,7.75
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDI PLUS AT Dual Tone,2018,75,24.3,5,Diesel,Automatic,198,328,48,89,9.13
Maruti Suzuki,Maruti Suzuki Ertiga VDI,2016,96,24.52,7,Diesel,Manual,185,135,45,89,7.96
Maruti Suzuki,Maruti Suzuki Alto 800 LXI,2016,53,22.74,5,Petrol,Manual,160,177,35,47.3,3
Hyundai,Hyundai Fluidic Verna 4S 1.6 CRDi SX,2017,52,24.8,5,Diesel,Manual,165,350,43,126,8.08
Tata,Tata Harrier XZ,2021,27,17,5,Diesel,Manual,205,425,50,138,17.85
Nissan,Nissan Micra XV Petrol,2011,57,18.6,5,Petrol,Manual,154,251,41,75,3.46
Tata,Tata Altroz XZ 1.5,2020,22,21.11,5,Diesel,Manual,165,345,37,88.76,8.56
Honda,Honda WR-V i-DTEC VX,2020,18,23.7,5,Diesel,Manual,170,363,40,88.51,11.14
Hyundai,Hyundai New i20 Asta 1.0 Turbo IMT,2020,13,20.2,5,Petrol,Manual,170,311,37,118,9.19
Tata,Tata Zest XT ABS Diesel,2017,82,20.65,5,Diesel,Manual,170,390,44,88.51,5.88
Honda,Honda City ZX CVT,2020,50,18.4,5,Petrol,Automatic,170,506,40,119.35,13.1
Hyundai,Hyundai New Santro 1.1 Sportz MT,2021,63,20.3,5,Petrol,Manual,170,235,35,68.07,4.95
Nissan,Nissan Magnite XV Turbo Dual Tone,2021,14,20,5,Petrol,Manual,205,336,40,99,7.85
Hyundai,Hyundai i10 Sportz Petrol,2014,57,20.36,5,Petrol,Manual,165,225,35,68,4.35
Toyota,Toyota Etios VD,2017,53,23.59,5,Diesel,Manual,174,350,45,88.51,8.11
Renault,Renault Kwid RXL,2020,9,20.71,5,Petrol,Manual,184,279,28,53,4.27
Maruti Suzuki,Maruti Suzuki S-Cross Alpha 1.3,2018,56,24,5,Diesel,Manual,170,375,48,89,9.55
Hyundai,Hyundai i20 N Line N8 1.0 Turbo iMT,2021,10,20.2,5,Petrol,Manual,170,311,37,118,10.56
Maruti Suzuki,Maruti Suzuki Ciaz Alpha AT Petrol,2020,16,20,5,Petrol,Automatic,170,510,43,103.25,11.65
MG,MG Motors Hector 2.0 Sharp,2021,35,17.41,5,Diesel,Manual,183,587,60,167.68,18.96
Tata,Tata Harrier XZ,2020,47,17,5,Diesel,Manual,205,425,50,138,15.62
Hyundai,Hyundai Venue SX 1.0 Turbo,2020,30,18.27,5,Petrol,Manual,195,350,45,118.35,9.5
Renault,Renault Kiger RXZ 1.0 Turbo MT,2021,21,20.53,5,Petrol,Manual,205,405,40,99,8.65
Renault,Renault Kwid CLIMBER 1.0 Opt,2020,8,22,5,Petrol,Manual,184,279,28,67,4.94
Nissan,Nissan Magnite XV Turbo,2021,17,20,5,Petrol,Manual,205,336,40,88.51,7.57
Ford,Ford Figo Aspire Titanium Plus 1.5 TDCi,2019,35,19.365,5,Diesel,Manual,174,359,40,88.51,7.25
Maruti Suzuki,Maruti Suzuki Alto K10 VXI,2012,53,20.92,5,Petrol,Manual,160,177,35,67.1,2.49
Tata,Tata Harrier XZ Plus Dual Tone,2020,54,16.3,5,Diesel,Manual,205,425,50,168,16.73
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi AMT,2018,34,24.3,5,Diesel,Automatic,198,328,48,88.5,9.84
Honda,Honda City VX Diesel,2017,63,24,5,Diesel,Manual,165,510,40,99,9.42
Hyundai,Hyundai i20 Sportz 1.2,2013,77,18.15,5,Petrol,Manual,165,295,45,83,4.46
Honda,Honda Amaze 1.5 VX i-DTEC,2015,63,25.8,5,Diesel,Manual,165,400,35,88.51,5.43
Hyundai,Hyundai Creta S Diesel,2020,55,19.365,5,Diesel,Manual,190,433,50,113.42,13.31
Mahindra,Mahindra Marazzo M2 8str,2019,49,17.3,8,Diesel,Manual,200,190,45,121,9.55
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi,2019,40,24.3,5,Diesel,Manual,198,328,48,89,9.57
Kia,Kia Sonet GTX Plus 1.0 iMT,2020,8,18.2,5,Petrol,Manual,170,392,45,88.51,11.46
Tata,Tata Punch Creative iRA Pack AMT Dual Tone,2021,22,18.9,5,Petrol,Automatic,187,366,37,84,9.81
Mahindra,Mahindra XUV 300 W8 Diesel,2019,83,20,5,Diesel,Manual,180,259,42,115,9.56
Toyota,Toyota Glanza V,2020,11,21.01,5,Petrol,Manual,170,339,37,81.8,8.09
Maruti Suzuki,Maruti Suzuki S-Cross Alpha 1.3,2017,56,25.1,5,Diesel,Manual,180,353,48,88.51,8.2
Nissan,Nissan Micra XV Petrol,2010,38,18.6,5,Petrol,Manual,154,251,41,75,3.25
Maruti Suzuki,Maruti Suzuki S-Cross Zeta 1.6,2015,91,25.1,5,Diesel,Manual,180,353,48,88.51,7.3
Volkswagen,Volkswagen Ameo 1.0 Highline Plus Petrol,2019,63,19.44,5,Petrol,Manual,165,330,45,88.51,6.48
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 LXI,2013,58,18.9,5,Petrol,Manual,165,180,35,67.1,3.01
Hyundai,Hyundai Grand i10 Asta 1.2 Kappa VTVT,2016,100,18.9,5,Petrol,Manual,165,350,43,81,4.94
Hyundai,Hyundai Verna 1.6 CRDI SX + AT,2018,61,22,5,Diesel,Automatic,165,480,45,88.51,10.08
Nissan,Nissan Magnite XV Premium Turbo CVT,2021,16,17.7,5,Petrol,Automatic,205,336,40,99,10.33
Toyota,Toyota Yaris G,2018,56,17.18,5,Petrol,Manual,165,476,42,88.51,7.38
Hyundai,Hyundai Verna 1.6 VTVT SX,2019,50,17.4,5,Petrol,Manual,165,480,43,121,9.02
Tata,Tata Harrier XZ,2020,32,17,5,Diesel,Manual,205,425,50,138,17.42
Maruti Suzuki,Maruti Suzuki Baleno Alpha Petrol,2019,18,21.01,5,Petrol,Manual,170,339,37,81.8,7.85
Maruti Suzuki,Maruti Suzuki S-Cross Alpha 1.5 AT,2020,49,18.43,5,Petrol,Automatic,170,375,48,88.51,11.36
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi Plus,2016,53,24.3,5,Diesel,Manual,198,350,48,89,8.62
Mahindra,Mahindra Scorpio S3,2018,51,16.36,7,Diesel,Manual,180,460,60,75,9.55
Toyota,Toyota Yaris G CVT,2020,23,19.365,5,Petrol,Automatic,170,476,42,88.51,10.4
Volkswagen,Volkswagen Taigun Highline 1.0 TSI AT,2021,6,19.2,5,Petrol,Automatic,188,350,43,114,14.9
Maruti Suzuki,Maruti Suzuki Baleno Alpha AT Petrol,2019,22,21.01,5,Petrol,Automatic,170,339,37,81.8,8.59
Hyundai,Hyundai Venue SX 1.4 CRDI,2019,24,23.7,5,Diesel,Manual,190,350,45,98.6,10.13
Tata,Tata Zest XT Diesel,2018,30,23,5,Diesel,Manual,165,350,44,89,6.73
Hyundai,Hyundai i20 Active 1.4 SX,2017,27,21.19,5,Diesel,Manual,190,285,45,89,8.25
Tata,Tata Nexon XZ Plus Diesel,2018,91,21.05,5,Diesel,Manual,209,350,44,108.5,7.86
Maruti Suzuki,Maruti Suzuki Swift Dzire ZDI,2014,75,23.4,5,Diesel,Manual,170,320,42,74,5.95
Tata,Tata Nexon XZ Plus Petrol,2021,18,17,5,Petrol,Manual,209,350,44,88.51,10.38
Kia,Kia Seltos GTX Plus AT D,2020,47,17.8,5,Diesel,Automatic,190,433,50,88.51,17.62
Mahindra,Mahindra XUV 300 W8 (O) Dual Tone Diesel,2019,52,20,5,Diesel,Manual,180,259,42,88.51,11.34
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZXI Plus,2020,85,17.03,5,Petrol,Manual,170,328,48,103.26,8.7
Hyundai,Hyundai Venue SX 1.0 (O) Turbo,2021,13,18.27,5,Petrol,Manual,195,350,45,118.35,10.38
Hyundai,Hyundai Verna 1.6 VTVT SX + AT,2019,31,17.01,5,Petrol,Automatic,165,465,43,88.51,11.17
Tata,Tata Nexon XZ Plus Diesel,2019,17,21.05,5,Diesel,Manual,209,350,44,108.5,9.71
Mahindra,Mahindra XUV 300 W8 AMT (O) Diesel,2020,37,20,5,Diesel,Automatic,180,350,42,115,13.05
Nissan,Nissan Kicks XV Petrol,2021,17,13.9,5,Petrol,Manual,210,400,50,105,8.66
Tata,Tata Nexon XZ Plus Dual Tone roof Petrol,2019,31,17,5,Petrol,Manual,209,350,44,88.51,8.65
MG,MG Motors Hector 2.0 Sharp,2019,53,17.41,5,Diesel,Manual,183,587,60,167.68,16.17
Renault,Renault Kiger RXT (O) AMT Dual Tone,2021,6,19.1,5,Petrol,Automatic,205,405,40,71,8.19
Skoda,Skoda Kushaq Style 1.5L TSI DSG (6 Airbags),2022,11,17.7,5,Petrol,Automatic,188,385,50,148,18.12
Chevrolet,Chevrolet Beat PS Petrol,2015,47,18.6,5,Petrol,Manual,165,350,35,79,3.1
Tata,Tata Harrier XZA,2021,39,17,5,Diesel,Automatic,205,425,50,88.51,20.06
Hyundai,Hyundai Creta 1.6 SX,2015,78,19.67,5,Diesel,Manual,190,350,60,126,9.9
MG,MG Motors Hector Plus Sharp 2.0 Diesel Turbo MT 6-STR,2020,30,16.65,6,Diesel,Manual,192,155,60,88.51,18.29
Maruti Suzuki,Maruti Suzuki Swift VDI RS Limited Edition,2014,86,22.9,5,Diesel,Manual,170,232,43,88.51,5.1
Maruti Suzuki,Maruti Suzuki S-Cross Zeta 1.5 AT,2021,14,18.43,5,Petrol,Automatic,180,375,48,88.51,11.09
Maruti Suzuki,Maruti Suzuki Baleno Alpha AT Petrol,2018,45,19.56,5,Petrol,Automatic,170,339,37,81.8,7.17
Skoda,Skoda Kushaq Style 1.0L TSI AT,2021,19,17.2,5,Petrol,Automatic,188,385,50,114,15.54
Tata,Tata Punch Creative iRA Pack AMT Dual Tone,2021,10,18.9,5,Petrol,Automatic,187,366,37,84,9.29
Tata,Tata Harrier XZ Plus Dark Edition,2020,47,17,5,Diesel,Manual,205,425,50,88.51,19.67
Tata,Tata Nexon XZ Plus Diesel,2017,60,21.05,5,Diesel,Manual,209,350,44,108.5,8.48
Maruti Suzuki,Maruti Suzuki Baleno Zeta Petrol,2019,36,21.01,5,Petrol,Manual,170,339,37,81.8,7.36
MG,MG Motors Hector Plus Sharp 2.0 Diesel Turbo MT 6-STR,2020,52,16.65,6,Diesel,Manual,192,155,60,88.51,16.85
Mahindra,Mahindra XUV 300 W8 (O) Dual Tone Petrol,2019,26,17,5,Petrol,Manual,180,259,42,109,11.65
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi Plus,2019,56,24.3,5,Diesel,Manual,198,350,48,89,10.12
Mahindra,Mahindra TUV300 T10,2018,53,18.49,7,Diesel,Manual,184,384,60,84,8.55
Maruti Suzuki,Maruti Suzuki Swift ZXI Plus,2022,23,21.21,5,Petrol,Manual,163,268,37,81.8,8.18
Tata,Tata Harrier XZ Plus Dual Tone,2021,29,16.3,5,Diesel,Manual,205,425,50,168,18.98
Nissan,Nissan Magnite XV Premium,2021,14,18.75,5,Petrol,Manual,205,336,40,88.51,7.92
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDI PLUS Dual Tone,2018,67,24.3,5,Diesel,Manual,198,328,48,88.5,9.9
Honda,Honda Jazz VX CVT,2020,19,17.1,5,Petrol,Automatic,165,354,40,88.5111,9.15
Mahindra,Mahindra Thar LX 4 STR Convertible Diesel MT,2020,39,15.2,4,Diesel,Manual,226,350,57,130,14.74
Maruti Suzuki,Maruti Suzuki Ignis Alpha MT Petrol,2022,5,20.89,5,Petrol,Manual,180,260,32,88.51,7.4
Hyundai,Hyundai Grand i10 Asta 1.2 Kappa VTVT,2019,16,18.9,5,Petrol,Manual,165,350,43,81,6.56
Hyundai,Hyundai Creta 1.6 SX Plus Auto,2015,108,17.01,5,Diesel,Automatic,190,400,60,126,10.22
Hyundai,Hyundai Creta 1.6 SX Plus Auto,2015,82,17.01,5,Diesel,Automatic,190,400,60,126,10.35
Hyundai,Hyundai Verna 1.6 VTVT SX,2019,20,17.4,5,Petrol,Manual,165,480,43,121,9.56
Volkswagen,Volkswagen Virtus Comfortline 1.0 TSI MT,2022,4,19.4,5,Petrol,Manual,179,521,45,114,11.92
Toyota,Toyota Glanza V,2019,10,21.01,5,Petrol,Manual,170,339,37,81.8,7.99
Hyundai,Hyundai Creta 1.6 SX AT,2018,72,15.29,5,Diesel,Automatic,190,400,55,121.3,13.61
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi Plus,2018,31,24.3,5,Diesel,Manual,198,350,48,89,10.79
Mahindra,Mahindra Scorpio S4 Plus,2017,53,15.4,7,Diesel,Manual,180,350,60,120,11.1
Renault,Renault Duster RXZ Petrol,2021,26,16.42,5,Petrol,Manual,205,475,50,88.51,10
Tata,Tata Safari XZA Plus,2021,26,19.365,7,Diesel,Automatic,170,350,50,167.67,21.8
Hyundai,Hyundai Alcazar Platinum 7 STR 2.0 Petrol MT,2021,44,14.5,7,Petrol,Manual,200,180,50,157,16.72
Mahindra,Mahindra Thar LX 4 STR Convertible Diesel AT,2021,7,15,4,Diesel,Automatic,226,350,57,130,16.93
Hyundai,Hyundai Venue SX 1.0 (O) Turbo,2020,36,18.27,5,Petrol,Manual,195,350,45,118.35,11.01
Hyundai,Hyundai Venue SX 1.0 Turbo,2021,25,18.27,5,Petrol,Manual,195,350,45,118.35,9.9
Hyundai,Hyundai i20 Sportz 1.4 CRDI,2014,89,21.93,5,Diesel,Manual,165,295,45,89,5.46
Honda,Honda WR-V VX i-VTEC,2017,64,16.5,5,Petrol,Manual,188,363,40,88.5,6.82
Tata,Tata Altroz XT 1.2,2020,46,19.05,5,Petrol,Manual,165,345,37,88.51,7.12
MG,MG Motors Hector 1.5 Hybrid Sharp,2019,37,15.81,5,Petrol,Manual,183,587,60,88.51,15.6
Volkswagen,Volkswagen Polo Comfortline 1.0L (P),2019,44,17.74,5,Petrol,Manual,165,280,45,75.01,6.28
Toyota,Toyota Glanza G Hybrid,2019,22,23.87,5,Petrol,Manual,170,339,37,88.51,8.13
Volkswagen,Volkswagen Tiguan AllSpace 2.0 TSI AT,2020,47,17.01,7,Petrol,Automatic,201,340,60,88.51,27.33
Tata,Tata Harrier XZ,2021,16,17,5,Diesel,Manual,205,425,50,138,17.54
Maruti Suzuki,Maruti Suzuki S-Cross Delta 1.5,2020,12,18.55,5,Petrol,Manual,180,375,48,103.25,9.25
MG,MG Motors Hector 1.5 Hybrid Smart,2020,33,15.81,5,Petrol,Manual,170,587,60,141,14.64
Tata,Tata Safari XZ Plus,2021,13,16.14,7,Diesel,Manual,205,350,50,88.51,21.68
Toyota,Toyota Yaris J,2021,27,17.18,5,Petrol,Manual,170,476,42,105.94,9.21
Maruti Suzuki,Maruti Suzuki Baleno Alpha AT Petrol,2019,60,21.01,5,Petrol,Automatic,170,339,37,81.8,8.05
Maruti Suzuki,Maruti Suzuki Swift ZXI,2019,25,21.21,5,Petrol,Manual,163,268,37,81.8,7.02
Datsun,Datsun GO T (O),2021,15,19.02,5,Petrol,Manual,185,222,28,67,5.3
Kia,Kia Sonet HTX 1.0 iMT,2021,24,18.2,5,Petrol,Manual,205,392,45,88.51,11.35
Ford,Ford EcoSport Trend + 1.5L TDCi,2017,74,22.7,5,Diesel,Manual,100,346,52,99,6.94
Kia,Kia Sonet HTX 1.0 iMT,2021,22,18.2,5,Petrol,Manual,205,392,45,88.51,10.75
Hyundai,Hyundai Xcent SX Petrol,2018,20,20.14,5,Petrol,Manual,165,407,43,81.86,6.1
Volkswagen,Volkswagen Polo Highline 1.5 (D),2019,89,20.18,5,Diesel,Manual,165,350,45,88,7.13
Kia,Kia Seltos GTX Plus DCT,2019,78,16.8,5,Petrol,Automatic,190,433,50,138,14.48
Nissan,Nissan Magnite XV Premium Turbo CVT,2021,13,17.7,5,Petrol,Automatic,205,336,40,99,10.47
