,car-body
367,"('Tata Nexon XMA AMT Diesel S', 'SUV')"
368,"('Renault Triber RXZ Dual Tone', 'MPV')"
369,"('MG Motors Hector 1.5 Sharp DCT AT', 'SUV')"
370,"('Tata Hexa XTA', 'SUV')"
371,"('Hyundai Xcent S Petrol', 'Sedan')"
372,"('Kia Sonet GTX Plus 1.0 DCT', 'SUV')"
373,"('Renault Duster 110 PS RxZ 4x2 MT', 'SUV')"
374,"('Honda Jazz VX Diesel', 'Hatchback')"
375,"('Datsun GO T (O)', 'Hatchback')"
376,"('Toyota Urban Cruiser Premium Grade AT', 'SUV')"
377,"('Hyundai Grand i10 Nios Sportz 1.0 Turbo GDI', 'Hatchback')"
378,"('Renault Duster RXZ Turbo Petrol', 'SUV')"
379,"('Nissan Terrano XL D Plus', 'SUV')"
380,"('Hyundai New i20 Sportz 1.2 IVT', 'Hatchback')"
381,"('Hyundai New i20 Asta (O) 1.5 MT', 'Hatchback')"
382,"('Maruti Suzuki Brezza ZXI', 'SUV')"
383,"('Maruti Suzuki Eeco STD 5 STR', 'Minivan')"
384,"('Maruti Suzuki Swift ZXI AMT', 'Hatchback')"
385,"('Maruti Suzuki S-Presso VXI', 'Hatchback')"
386,"('Honda WR-V i-VTEC SV', 'SUV')"
387,"('Volkswagen Polo Comfortline 1.2L (P)', 'Hatchback')"
388,"('Maruti Suzuki S-Presso VXI (O)', 'Hatchback')"
389,"('Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT CNG (outside fitted)', 'Hatchback')"
390,"('Kia Sonet HTK Plus 1.5', 'SUV')"
391,"('Honda City V 5th Gen', 'Sedan')"
392,"('Renault Kiger RXT Turbo CVT', 'SUV')"
393,"('Tata Nexon XZ Plus Diesel', 'SUV')"
394,"('Maruti Suzuki Wagon R Stingray VXI', 'Hatchback')"
395,"('Hyundai i10 Sportz 1.2 Petrol', 'Hatchback')"
396,"('Tata Hexa XE', 'SUV')"
397,"('Mahindra Thar LX 4 STR Convertible Diesel AT', 'SUV')"
398,"('Kia Seltos GTX Plus', 'SUV')"
399,"('Datsun Redi-GO T (O)', 'Hatchback')"
400,"('Nissan Micra Active XL (O)', 'Hatchback')"
401,"('Tata Punch Creative Dual Tone', 'Hatchback')"
402,"('Hyundai New Santro 1.1 Asta MT', 'Hatchback')"
403,"('Datsun Redi-GO S', 'Hatchback')"
404,"('Tata Tiago Revotron XM', 'Hatchback')"
405,"('Nissan Magnite XL Turbo', 'SUV')"
406,"('Renault Triber RXL', 'MPV')"
407,"('Honda Jazz VX CVT', 'Hatchback')"
408,"('Tata Punch Accomplished MT', 'Hatchback')"
409,"('Tata Altroz XZ 1.2', 'Hatchback')"
410,"('Datsun Redi-GO S 1.0', 'Hatchback')"
411,"('Datsun Redi-GO A', 'Hatchback')"
412,"('Hyundai Verna SX Petrol', 'Sedan')"
413,"('Maruti Suzuki Swift Dzire ZXI', 'Sedan')"
414,"('Hyundai Eon Magna +', 'Hatchback')"
415,"('Maruti Suzuki Vitara Brezza ZDI PLUS AT', 'SUV')"
416,"('Kia Seltos HTK Plus G', 'SUV')"
417,"('Toyota Innova Crysta 2.7 V', 'MPV')"
418,"('Maruti Suzuki Swift ZDI AMT', 'Hatchback')"
419,"('Maruti Suzuki Ritz ZXI', 'Hatchback')"
420,"('Hyundai i10 Sportz AT Petrol', 'Hatchback')"
421,"('Hyundai Grand i10 Magna 1.1 CRDi', 'Hatchback')"
422,"('Maruti Suzuki Swift Dzire ZDI AMT', 'Sedan')"
423,"('Skoda Rapid Ambition 1.6 MPI MT', 'Sedan')"
424,"('Honda Amaze 1.5 VX i-DTEC', 'Sedan')"
425,"('Honda Brio S(O)MT', 'Hatchback')"
426,"('Kia Sonet HTX 1.5', 'SUV')"
